source_response_id,version_key,segment,submitted_at,feature,frequency_raw,used_yn,frequency_score,feature_csat,csat_accuracy,csat_sources
3,v1_CSM,CSM,2025-07-14 02:29:39+00,matrix,Nein,f,0,,,
3,v1_CSM,CSM,2025-07-14 02:29:39+00,research,Nein,f,0,,,
4,v1_CSM,CSM,2025-07-14 02:31:41+00,matrix,Ja,t,4,4.0,,
4,v1_CSM,CSM,2025-07-14 02:31:41+00,research,Ja,t,4,6.0,6.0,8.0
5,v1_CSM,CSM,2025-07-14 02:32:51+00,matrix,Ja,t,4,,,
5,v1_CSM,CSM,2025-07-14 02:32:51+00,research,Ja,t,4,6.0,6.0,4.0
6,v1_CSM,CSM,2025-07-14 02:33:58+00,matrix,Nein,f,0,,,
6,v1_CSM,CSM,2025-07-14 02:33:58+00,research,Ja,t,4,5.0,7.0,7.0
7,v1_CSM,CSM,2025-07-18 09:08:12+00,matrix,Nein,f,0,,,
7,v1_CSM,CSM,2025-07-18 09:08:12+00,research,Nein,f,0,,,
8,v1_CSM,CSM,2025-08-12 23:04:04+00,matrix,Nein,f,0,,,
8,v1_CSM,CSM,2025-08-12 23:04:04+00,research,Ja,t,4,8.0,7.0,7.0
9,v1_CSM,CSM,2025-08-13 00:20:49+00,matrix,Nein,f,0,,,
9,v1_CSM,CSM,2025-08-13 00:20:49+00,research,Ja,t,4,9.0,8.0,9.0
10,v1_CSM,CSM,2025-08-19 04:14:10+00,matrix,Nein,f,0,,,
10,v1_CSM,CSM,2025-08-19 04:14:10+00,research,Ja,t,4,10.0,6.0,5.0
11,v1_CSM,CSM,2025-08-19 07:39:59+00,matrix,Nein,f,0,,,
11,v1_CSM,CSM,2025-08-19 07:39:59+00,research,Ja,t,4,7.0,7.0,6.0
12,v1_CSM,CSM,2025-08-19 22:22:56+00,matrix,Nein,f,0,,,
12,v1_CSM,CSM,2025-08-19 22:22:56+00,research,Ja,t,4,6.0,5.0,3.0
13,v1_CSM,CSM,2025-08-21 07:37:40+00,matrix,Nein,f,0,,,
13,v1_CSM,CSM,2025-08-21 07:37:40+00,research,Ja,t,4,7.0,7.0,7.0
14,v1_CSM,CSM,2025-08-22 07:47:12+00,matrix,Ja,t,4,4.0,,
14,v1_CSM,CSM,2025-08-22 07:47:12+00,research,Ja,t,4,8.0,5.0,5.0
15,v1_CSM,CSM,2025-08-25 23:19:29+00,matrix,Nein,f,0,,,
15,v1_CSM,CSM,2025-08-25 23:19:29+00,research,Ja,t,4,7.0,7.0,6.0
16,v1_CSM,CSM,2025-08-26 00:54:28+00,matrix,Nein,f,0,,,
16,v1_CSM,CSM,2025-08-26 00:54:28+00,research,Ja,t,4,8.0,8.0,8.0
17,v1_CSM,CSM,2025-08-27 08:45:18+00,matrix,Nein,f,0,,,
17,v1_CSM,CSM,2025-08-27 08:45:18+00,research,Nein,f,0,,,
18,v1_CSM,CSM,2025-08-28 08:20:48+00,matrix,Nein,f,0,,,
18,v1_CSM,CSM,2025-08-28 08:20:48+00,research,Nein,f,0,,,
19,v1_CSM,CSM,2025-09-01 23:31:20+00,matrix,Nein,f,0,,,
19,v1_CSM,CSM,2025-09-01 23:31:20+00,research,Ja,t,4,6.0,5.0,7.0
20,v1_CSM,CSM,2025-09-02 04:31:33+00,matrix,Ja,t,4,,,
20,v1_CSM,CSM,2025-09-02 04:31:33+00,research,Nein,f,0,,,
21,v1_CSM,CSM,2025-09-03 06:25:56+00,matrix,Nein,f,0,,,
21,v1_CSM,CSM,2025-09-03 06:25:56+00,research,Ja,t,4,9.0,9.0,9.0
22,v1_CSM,CSM,2025-09-04 06:56:56+00,matrix,Nein,f,0,,,
22,v1_CSM,CSM,2025-09-04 06:56:56+00,research,Ja,t,4,7.0,7.0,5.0
23,v1_CSM,CSM,2025-09-04 09:28:28+00,matrix,Nein,f,0,,,
23,v1_CSM,CSM,2025-09-04 09:28:28+00,research,Nein,f,0,,,
24,v1_CSM,CSM,2025-09-05 01:42:35+00,matrix,Nein,f,0,,,
24,v1_CSM,CSM,2025-09-05 01:42:35+00,research,Nein,f,0,,,
25,v1_CSM,CSM,2025-09-05 01:55:17+00,matrix,Nein,f,0,,,
25,v1_CSM,CSM,2025-09-05 01:55:17+00,research,Nein,f,0,,,
26,v1_CSM,CSM,2025-09-05 03:22:24+00,matrix,Nein,f,0,,,
26,v1_CSM,CSM,2025-09-05 03:22:24+00,research,Nein,f,0,,,
27,v1_CSM,CSM,2025-09-05 04:57:57+00,matrix,Ja,t,4,,,
27,v1_CSM,CSM,2025-09-05 04:57:57+00,research,Ja,t,4,5.0,6.0,7.0
28,v1_CSM,CSM,2025-09-05 07:10:31+00,matrix,Nein,f,0,,,
28,v1_CSM,CSM,2025-09-05 07:10:31+00,research,Ja,t,4,7.0,8.0,6.0
29,v1_CSM,CSM,2025-09-07 04:56:10+00,matrix,Nein,f,0,,,
29,v1_CSM,CSM,2025-09-07 04:56:10+00,research,Nein,f,0,,,
30,v1_CSM,CSM,2025-09-08 05:35:12+00,matrix,Nein,f,0,,,
30,v1_CSM,CSM,2025-09-08 05:35:12+00,research,Ja,t,4,4.0,4.0,3.0
31,v1_CSM,CSM,2025-09-08 23:42:33+00,matrix,Nein,f,0,,,
31,v1_CSM,CSM,2025-09-08 23:42:33+00,research,Ja,t,4,7.0,7.0,8.0
32,v1_CSM,CSM,2025-09-09 05:02:39+00,matrix,Nein,f,0,,,
32,v1_CSM,CSM,2025-09-09 05:02:39+00,research,Nein,f,0,,,
33,v1_CSM,CSM,2025-09-10 02:25:36+00,matrix,Ja,t,4,8.0,,
33,v1_CSM,CSM,2025-09-10 02:25:36+00,research,Ja,t,4,8.0,8.0,8.0
34,v1_CSM,CSM,2025-09-10 02:35:11+00,matrix,Nein,f,0,,,
34,v1_CSM,CSM,2025-09-10 02:35:11+00,research,Ja,t,4,7.0,6.0,8.0
35,v1_CSM,CSM,2025-09-11 07:19:28+00,matrix,Nein,f,0,,,
35,v1_CSM,CSM,2025-09-11 07:19:28+00,research,Ja,t,4,3.0,5.0,3.0
36,v1_CSM,CSM,2025-09-12 05:24:53+00,matrix,Nein,f,0,,,
36,v1_CSM,CSM,2025-09-12 05:24:53+00,research,Ja,t,4,,5.0,6.0
37,v1_CSM,CSM,2025-09-12 06:14:21+00,matrix,Nein,f,0,,,
37,v1_CSM,CSM,2025-09-12 06:14:21+00,research,Nein,f,0,,,
38,v1_CSM,CSM,2025-09-15 02:33:52+00,matrix,Nein,f,0,,,
38,v1_CSM,CSM,2025-09-15 02:33:52+00,research,Ja,t,4,6.0,4.0,3.0
39,v1_CSM,CSM,2025-09-15 04:27:22+00,matrix,Nein,f,0,,,
39,v1_CSM,CSM,2025-09-15 04:27:22+00,research,Ja,t,4,5.0,5.0,3.0
40,v1_CSM,CSM,2025-09-15 04:38:58+00,matrix,Nein,f,0,,,
40,v1_CSM,CSM,2025-09-15 04:38:58+00,research,Ja,t,4,6.0,,
41,v1_CSM,CSM,2025-09-15 04:50:53+00,matrix,Ja,t,4,,,
41,v1_CSM,CSM,2025-09-15 04:50:53+00,research,Ja,t,4,2.0,2.0,1.0
42,v1_CSM,CSM,2025-09-15 05:35:11+00,matrix,Nein,f,0,,,
42,v1_CSM,CSM,2025-09-15 05:35:11+00,research,Ja,t,4,8.0,7.0,10.0
43,v1_CSM,CSM,2025-09-15 06:37:43+00,matrix,,,,,,
43,v1_CSM,CSM,2025-09-15 06:37:43+00,research,Ja,t,4,2.0,2.0,1.0
44,v1_CSM,CSM,2025-09-15 07:59:15+00,matrix,Nein,f,0,,,
44,v1_CSM,CSM,2025-09-15 07:59:15+00,research,Ja,t,4,6.0,6.0,4.0
45,v1_CSM,CSM,2025-09-15 08:11:11+00,matrix,Nein,f,0,,,
45,v1_CSM,CSM,2025-09-15 08:11:11+00,research,Ja,t,4,,8.0,7.0
46,v1_CSM,CSM,2025-09-15 08:24:09+00,matrix,Nein,f,0,,,
46,v1_CSM,CSM,2025-09-15 08:24:09+00,research,Ja,t,4,7.0,8.0,6.0
47,v1_CSM,CSM,2025-09-16 02:37:05+00,matrix,Nein,f,0,,,
47,v1_CSM,CSM,2025-09-16 02:37:05+00,research,Ja,t,4,3.0,3.0,3.0
48,v1_CSM,CSM,2025-09-16 03:06:00+00,matrix,Nein,f,0,,,
48,v1_CSM,CSM,2025-09-16 03:06:00+00,research,Ja,t,4,3.0,3.0,7.0
49,v1_CSM,CSM,2025-09-16 05:15:33+00,matrix,Ja,t,4,7.0,,
49,v1_CSM,CSM,2025-09-16 05:15:33+00,research,Ja,t,4,6.0,6.0,5.0
50,v1_CSM,CSM,2025-09-16 06:00:36+00,matrix,Nein,f,0,,,
50,v1_CSM,CSM,2025-09-16 06:00:36+00,research,Ja,t,4,4.0,3.0,3.0
51,v1_CSM,CSM,2025-09-16 06:24:04+00,matrix,Nein,f,0,,,
51,v1_CSM,CSM,2025-09-16 06:24:04+00,research,Ja,t,4,9.0,8.0,10.0
52,v1_CSM,CSM,2025-09-16 06:59:24+00,matrix,Nein,f,0,,,
52,v1_CSM,CSM,2025-09-16 06:59:24+00,research,Ja,t,4,4.0,4.0,4.0
53,v1_CSM,CSM,2025-09-16 07:33:54+00,matrix,Nein,f,0,,,
53,v1_CSM,CSM,2025-09-16 07:33:54+00,research,Ja,t,4,8.0,8.0,8.0
54,v1_CSM,CSM,2025-09-17 00:38:29+00,matrix,Nein,f,0,,,
54,v1_CSM,CSM,2025-09-17 00:38:29+00,research,Ja,t,4,4.0,4.0,7.0
55,v1_CSM,CSM,2025-09-17 06:55:05+00,matrix,Nein,f,0,,,
55,v1_CSM,CSM,2025-09-17 06:55:05+00,research,Ja,t,4,7.0,5.0,4.0
56,v1_CSM,CSM,2025-09-22 07:06:24+00,matrix,Nein,f,0,,,
56,v1_CSM,CSM,2025-09-22 07:06:24+00,research,Ja,t,4,8.0,8.0,10.0
57,v1_CSM,CSM,2025-09-22 09:01:01+00,matrix,Nein,f,0,,,
57,v1_CSM,CSM,2025-09-22 09:01:01+00,research,Ja,t,4,3.0,3.0,3.0
58,v1_CSM,CSM,2025-09-24 10:05:15+00,matrix,Nein,f,0,,,
58,v1_CSM,CSM,2025-09-24 10:05:15+00,research,Ja,t,4,2.0,2.0,1.0
59,v1_CSM,CSM,2025-09-25 04:15:39+00,matrix,Nein,f,0,,,
59,v1_CSM,CSM,2025-09-25 04:15:39+00,research,Ja,t,4,4.0,3.0,8.0
60,v1_CSM,CSM,2025-09-26 01:27:00+00,matrix,Nein,f,0,,,
60,v1_CSM,CSM,2025-09-26 01:27:00+00,research,Ja,t,4,,,
61,v1_CSM,CSM,2025-09-26 02:26:15+00,matrix,Nein,f,0,,,
61,v1_CSM,CSM,2025-09-26 02:26:15+00,research,Ja,t,4,9.0,8.0,10.0
62,v1_CSM,CSM,2025-09-26 03:13:36+00,matrix,Nein,f,0,,,
62,v1_CSM,CSM,2025-09-26 03:13:36+00,research,Nein,f,0,,,
63,v1_CSM,CSM,2025-09-26 08:09:05+00,matrix,Nein,f,0,,,
63,v1_CSM,CSM,2025-09-26 08:09:05+00,research,Ja,t,4,8.0,7.0,4.0
64,v1_CSM,CSM,2025-09-29 01:28:03+00,matrix,Nein,f,0,,,
64,v1_CSM,CSM,2025-09-29 01:28:03+00,research,Nein,f,0,,,
65,v1_CSM,CSM,2025-09-29 03:25:28+00,matrix,Nein,f,0,,,
65,v1_CSM,CSM,2025-09-29 03:25:28+00,research,Ja,t,4,3.0,3.0,2.0
66,v1_CSM,CSM,2025-09-29 03:35:40+00,matrix,Nein,f,0,,,
66,v1_CSM,CSM,2025-09-29 03:35:40+00,research,Ja,t,4,9.0,9.0,5.0
67,v1_CSM,CSM,2025-09-29 06:12:54+00,matrix,Nein,f,0,,,
67,v1_CSM,CSM,2025-09-29 06:12:54+00,research,Ja,t,4,8.0,8.0,8.0
68,v1_CSM,CSM,2025-09-29 07:11:41+00,matrix,Nein,f,0,,,
